Date,Time,UserPhone,UserName,MessageBody;
%2019-02-13,%%16:23:29%,%3916658067753117573,%%EMT VALÈNCIA%,%%e2e_notification%%%;
INCIDENCIAS
%2019-02-13,%%16:23:27%,%6524215918795426147,%%Beatriz%,%%Buenas tardes mi Bono oro 3777 2496 8222,  q ayer 12 active formalizando todos los requisitos, he querido pagar hoy la cuota y el terminal indica q faltan requisitos.\nPueden aclararme q ocurre?\nGracias%%%;
%2019-02-13,%%16:29:33%,%3916658067753117573,%%EMT VALÈNCIA%,%%Buenas tardes, tenemos una incidencia en el sistema informático por lo que no le deja recargar en los puntos de venta%%%;
%2019-02-13,%%16:30:13%,%3916658067753117573,%%EMT VALÈNCIA%,%%Vuelva a contactar con nosotras en unos días y le indicaremos si ya es posible la recarga%%%;
%2019-02-13,%%16:30:49%,%6524215918795426147,%%Beatriz%,%%Bien, pero no hay incidencia. Por faltar documentación?%%%;
%2019-02-13,%%16:31:24%,%6524215918795426147,%%Beatriz%,%%El problema es q tengo q utilizar un bono normal%%%;
%2019-02-13,%%16:31:46%,%6524215918795426147,%%Beatriz%,%%Y eso me supone un dinero extra%%%;
%2019-02-13,%%16:32:05%,%3916658067753117573,%%EMT VALÈNCIA%,%%No sería por la documentación%%%;
%2019-02-13,%%16:33:04%,%3916658067753117573,%%EMT VALÈNCIA%,%%En caso que tenga que abonar billete o gastar bonobús cuando sea posible la recarga venga a las oficinas centrales de la Emt para poder hacer el reclamo del dinero gastado%%%;
%2019-02-13,%%16:33:19%,%6524215918795426147,%%Beatriz%,%%Gracias%%%;
%2019-02-13,%%16:34:01%,%3916658067753117573,%%EMT VALÈNCIA%,%%Feliz tarde!%%%;
%2019-02-15,%%08:37:34%,%6524215918795426147,%%Beatriz%,%%Buenos días acabo de pasar por el punto de recarga \nKiosko Fray Junípero Sierra 85 y el terminal indica no reúne los requisitos, a\nAyer me llamaron para decirme q estaba solucionado el sistema%%%;
%2019-02-15,%%08:40:35%,%3916658067753117573,%%EMT VALÈNCIA%,%%Buenos días, ¿A qué hora te llamaron?%%%;
%2019-02-15,%%08:41:48%,%6524215918795426147,%%Beatriz%,%%Por la tarde, si quieres la hora y el num, puedo mirarlo en registro de llamadas%%%;
%2019-02-15,%%08:42:15%,%6524215918795426147,%%Beatriz%,%%A las 18,34%%%;
%2019-02-15,%%08:46:35%,%3916658067753117573,%%EMT VALÈNCIA%,%%El sistema no está solucionado, se puede hacer duplicado en la oficina, pero el Ayuntamiento sigue sin poder enviar datos de los usuarios a EMT, por lo que, en tu caso, si es porque estaba dada de baja, no podrá funcionar. pero se está intentando solucionar. Disculpa las molestias. Un saludo%%%;
%2019-02-15,%%08:47:29%,%6524215918795426147,%%Beatriz%,%%Entonces sigo con el bono normal?%%%;
%2019-02-15,%%08:47:52%,%6524215918795426147,%%Beatriz%,%%Me llamareis cuando este solucionado?%%%;
%2019-02-15,%%08:48:19%,%6524215918795426147,%%Beatriz%,%%No tengo cerca el kiosco y mi movilidad es reducida%%%;
%2019-02-15,%%08:50:56%,%3916658067753117573,%%EMT VALÈNCIA%,%%Si, recuerda que puedes reclamarlo en Atención a la Ciudadanía%%%;
%2019-02-15,%%08:51:32%,%3916658067753117573,%%EMT VALÈNCIA%,%%Voy a anotar tu número de teléfono y en cuanto nos comenten desde el Ayuntamiento, te avisamos ¿Cuál es tu nbre?%%%;
%2019-02-15,%%08:52:51%,%6524215918795426147,%%Beatriz%,%%Ya, pero esta en la C/ Mendoza y a menos de 100 mts. No hay ningún bus me viene muy mal andar tanto%%%;
%2019-02-15,%%08:53:30%,%6524215918795426147,%%Beatriz%,%%Tengo el bono oro por discapacidad%%%;
%2019-02-15,%%08:54:16%,%3916658067753117573,%%EMT VALÈNCIA%,%%Puedes ponerla de manera telemática, a través de atencionalcliente@emtvalencia.es.%%%;
%2019-02-15,%%08:55:35%,%6524215918795426147,%%Beatriz%,%%Si vuelve a dar problemas lo haré, el día 12 fue la 3 vez q fui a Ruzafa a llevar los dtos%%%;
%2019-02-15,%%08:56:43%,%3916658067753117573,%%EMT VALÈNCIA%,%%¿La tenías dada de baja?%%%;
%2019-02-15,%%08:58:09%,%6524215918795426147,%%Beatriz%,%%No lo se , lleve lo q me pidieron%%%;
%2019-02-15,%%08:58:49%,%6524215918795426147,%%Beatriz%,%%Y salí de allí con la actualización hecha%%%;
%2019-02-18,%%11:21:04%,%6524215918795426147,%%Beatriz%,%%Buenos días quiero saber cuando puedo pagar el bono oro? Desde el 12 y estamos a 18 y no puedo acceder al bono oro, me pueden decir algo?%%%;
%2019-02-18,%%11:21:51%,%6524215918795426147,%%Beatriz%,%%Mi número de tj esta al principio de este chat%%%;
%2019-02-18,%%11:22:35%,%3916658067753117573,%%EMT VALÈNCIA%,%%Hola, nos consta que hay una incidencia en el sistema informático y están trabajando para solucionarla. De momento no es posible realizar la operación. Disculpa las molestias.%%%;
